date,high,close,volume,market,close_ratio,spread,profit\loss,slug_dash,slug_ethereum,slug_litecoin,slug_monero,slug_nem,slug_neo,slug_ripple,slug_stellar,symbol_DASH,symbol_ETH,symbol_LTC,symbol_NEO,symbol_XEM,symbol_XLM,symbol_XMR,symbol_XRP,name_Dash,name_Ethereum,name_Litecoin,name_Monero,name_NEM,name_NEO,name_Stellar,name_XRP,ranknow_11,ranknow_14,ranknow_15,ranknow_17,ranknow_2,ranknow_3,ranknow_4,ranknow_7,year_2014,year_2015,year_2016,year_2017,year_2018,month_1,month_10,month_11,month_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,day_1,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_2,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_3,day_30,day_31,day_4,day_5,day_6,day_7,day_8,day_9,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,month_name_April,month_name_August,month_name_December,month_name_February,month_name_January,month_name_July,month_name_June,month_name_March,month_name_May,month_name_November,month_name_October,month_name_September
2016-11-25,1.2490698442340233e-06,1.3484539329155186e-06,2.4934432721871913e-06,9.463579249862634e-05,0.8771929824561392,2.165241260383549e-07,0.4340874665417558,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-26,1.2399303087884085e-06,1.288284533708408e-06,5.917634394338724e-06,9.064013900011835e-05,0.392857142857143,4.2545091432059834e-07,0.43408680406852235,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-27,1.2178430981281729e-06,1.3014723472332541e-06,1.3729422307903128e-06,9.150369437246292e-05,0.5,1.7473876838183048e-07,0.4340873661670234,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-28,1.2224128658509802e-06,1.2932299637802255e-06,2.4834957755047732e-06,9.09908402816339e-05,0.0487804878048792,1.5574542399250103e-07,0.43408719218415404,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-29,1.2201279819895765e-06,1.30312082392386e-06,1.836345425297665e-06,9.1610881623585e-05,0.5636363636363643,2.0892678828262297e-07,0.43408733940042815,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-30,1.2178430981281729e-06,1.2717997668023503e-06,2.8971614866000367e-06,8.95539614837517e-05,0.2133333333333328,2.849001658399407e-07,0.4340870115096358,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2016-12-01,1.205657050867353e-06,1.2635573833493216e-06,1.1388569881051893e-05,8.898614183473125e-05,0.5891472868217047,4.900282852446982e-07,0.43408719218415404,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-12-02,1.16681402522349e-06,1.189375932272062e-06,5.564216729187917e-06,8.403238995735006e-05,0.313432835820895,5.090216296340276e-07,0.43408665016059944,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-12-03,1.1553896059164717e-06,1.2413029480261437e-06,5.52292523352505e-06,8.748604983687967e-05,0.8494623655913989,3.532762056415265e-07,0.43408768067451803,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016-12-04,1.1485349543322604e-06,1.1918486473079705e-06,1.5929132895034017e-06,8.419619550421826e-05,0.0,2.469134770612818e-07,0.4340868576017129,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
